"Project","ProjectKey","Repository","RepoUrl","MetadataSizeMB","IsDisabled","LastCommitDate","ActivityStatus"
"test2","TEST","repo1","http://20.84.89.88:7990/scm/test/repo1.git","0.00","False","No Commits","Empty"
"test2","TEST","repo2","http://20.84.89.88:7990/scm/test/repo2.git","0.00","False","No Commits","Empty"
